HW,Qualifying,Final Contest,Grade,Grade Number
7.33,2,7,A,3
6.83,2,7,A,3
7.67,0.48,5.5,A,3
7.67,2,7,A,3
7,0.48,5.5,A,3
8.5,2,1,A,3
7.17,1.62,5.5,A,3
7.5,1.62,5.5,A,3
9.375,1.17,6,A,3
9.5,0.98,1,A,3
7.25,0,3,A,3
9.125,2,3,A,3
8.875,1.17,6,A,3
9.75,0,3,A,3
5,1.05,4.43,A,3
7.33,2,2.14,A,3
5.33,1.05,4.43,A,3
9.33,0.73,2.14,A,3
7.33,2,4.43,A,3
8.33,2,4.43,A,3
8,0.73,2.14,A,3
6.67,2,4.43,A,3
9,2,4.43,A,3
9.63,2,3,A,3
9.38,2,3,A,3
9.25,2,3,A,3
9.63,0,3,A,3
9.5,2,3,A,3
8.875,0.36,2,A,3
8.75,2,5,A,3
8,2,5,A,3
8.375,0.62,0,A,3
9.125,0.99,3,A,3
9.75,0.62,0,A,3
8.875,0.86,3,A,3
9,0.99,3,A,3
8.88,1.67,4,A,3
9.5,0,6,A,3
8.5,0,6,A,3
8.13,2,4,A,3
9,2,4,A,3
7.38,0,6,A,3
8.67,0.1,1,B,2
6.67,1.24,2.5,B,2
7.17,0.86,5.5,B,2
6.33,0.1,1,B,2
6.67,1.24,2.5,B,2
7,0.48,5.5,B,2
7.67,1.62,5.5,B,2
6.83,0.86,5.5,B,2
7,0.86,5.5,B,2
6.33,1.62,5.5,B,2
7,0.86,5.5,B,2
8.17,1.62,5.5,B,2
7,0.1,1,B,2
2.83,0.1,1,B,2
6.83,1.62,5.5,B,2
7.42,2,1,B,2
8,0.86,2.5,B,2
7.83,0.1,1,B,2
6.25,0.86,2.5,B,2
8.5,2,1,B,2
6.5,0.1,1,B,2
4.5,1.24,1,B,2
5,1.62,5.5,B,2
8.33,0.86,2.5,B,2
9.375,2,3,B,2
3.125,2,3,B,2
6.5,1.12,1,B,2
7.125,1.12,1,B,2
7.625,2,3,B,2
9.25,0.98,1,B,2
5.5,1.17,6,B,2
9.25,0.98,1,B,2
6,0,3,B,2
7.17,0.1,1,B,2
8,0.1,1,B,2
6.17,2,2.14,B,2
8.83,0.1,1,B,2
7.17,1.05,4.43,B,2
9,0.1,4.43,B,2
7.33,0.73,2.14,B,2
7.67,1.37,2.14,B,2
5.67,1.37,2.14,B,2
7.33,0.1,4.43,B,2
6.67,0.1,4.43,B,2
7.17,1.37,2.14,B,2
9.75,0.16,0,B,2
9.13,0.16,0,B,2
9.25,0,3,B,2
9.63,0.08,0,B,2
9.75,0.05,3,B,2
9.38,0.08,0,B,2
9.88,0,3,B,2
9.13,0.05,3,B,2
9.5,0.16,0,B,2
7.875,0,5,B,2
7.625,0,5,B,2
5.375,0.99,3,B,2
8.875,0.36,2,B,2
8.25,0,5,B,2
4.5,0.36,2,B,2
7.75,0.86,3,B,2
6,0.62,0,B,2
8,0.86,3,B,2
7.75,0.86,3,B,2
8.25,1,2,B,2
6,2,4,B,2
7.5,1.67,4,B,2
5.88,1,2,B,2
8,1,2,B,2
8.5,0.67,2,B,2
8.75,1.33,0,B,2
7,1.67,4,B,2
8.88,1.33,0,B,2
8.5,0.33,0,B,2
4.25,0.33,0,B,2
7.38,0.33,0,B,2
6.63,0.67,2,B,2
8.38,1.33,0,B,2
8.5,1.24,2.5,C,1
7.33,1.24,2.5,C,1
6.67,0.48,2.5,C,1
6.5,0.48,2.5,C,1
2.5,1.24,1,C,1
2.5,1.24,1,C,1
2,1.12,1,C,1
6.83,2,2.14,C,1
5.5,1.37,2.14,C,1
9.38,0.05,3,C,1
4.88,0.08,0,C,1
3.625,2,5,C,1
3.25,0.67,2,C,1
0,0.48,2.5,D,1
